Event,Match,K1,K2,K3,K4,Karter,LR,MF,KB,KD,TT,FS,CM,MR,WS,SL,Ry,BC,DK,YV,BB,Rd
Virginia 2017,R16,Zoran,Kyle,Third,Boss,Third,4,4,2,4,2,2,3,3,1,3,4,3,3,3,3,4
Virginia 2017,R16,Zoran,Kyle,Third,Boss,Boss,2,2,3,2,4,3,4,1,3,2,2,2,1,1,4,2
Virginia 2017,R16,Jimbo,Abney,Weatherton,Dan B,Jimbo,4,3,3,2,4,3,3,2,3,2,3,3,1,2,3,3
Virginia 2017,R16,Jimbo,Abney,Weatherton,Dan B,Abney,1,1,1,3,2,1,4,1,1,4,1,1,2,3,2,2
Virginia 2017,R16,Jimbo,Abney,Weatherton,Dan B,Weatherton,3,4,4,4,3,4,2,4,4,3,4,4,4,4,4,4
Virginia 2017,R16,Jimbo,Abney,Weatherton,Dan B,Dan B,2,2,2,1,1,2,1,3,2,1,2,2,3,1,1,1
Virginia 2017,R16,MR,Jones,Frankie,Jake,MR,2,1,1,1,1,1,1,1,2,1,1,3,2,1,1,3
Virginia 2017,R16,MR,Jones,Frankie,Jake,Jones,4,2,3,4,3,2,3,2,1,4,3,4,1,3,3,1
Virginia 2017,R16,MR,Jones,Frankie,Jake,Frankie,3,3,2,3,2,4,4,4,3,3,4,1,3,2,2,4
Virginia 2017,R16,MR,Jones,Frankie,Jake,Jake,1,4,4,2,4,3,2,3,4,2,2,2,4,4,4,2
Virginia 2017,R16,JT,Dennison,Lovins,Stinson,JT,3,2,2,1,4,3,2,1,2,2,3,4,4,3,3,2
Virginia 2017,R16,JT,Dennison,Lovins,Stinson,Dennison,2,4,3,3,1,4,1,3,3,1,1,2,1,2,1,1
Virginia 2017,R16,JT,Dennison,Lovins,Stinson,Lovins,1,3,4,2,2,1,3,2,1,4,2,3,3,4,2,4
Virginia 2017,R16,JT,Dennison,Lovins,Stinson,Stinson,4,1,1,4,3,2,4,4,4,3,4,1,2,1,4,3
Virginia 2017,Semifinal,MR,Abney,Jimbo,Dennison,MR,1,1,1,1,2,1,1,2,2,2,1,2,1,1,1,1
Virginia 2017,Semifinal,MR,Abney,Jimbo,Dennison,Abney,4,4,3,2,1,3,2,4,1,3,4,1,2,2,4,3
Virginia 2017,Semifinal,MR,Abney,Jimbo,Dennison,Jimbo,3,2,4,3,4,4,3,1,4,1,2,4,4,4,3,2
Virginia 2017,Semifinal,MR,Abney,Jimbo,Dennison,Dennison,2,3,2,4,3,2,4,3,3,4,3,3,3,3,2,4
Virginia 2017,Semifinal,Zoran,Jones,Boss,Dan B,Zoran,2,4,1,2,1,1,1,1,1,2,3,1,1,1,3,4
Virginia 2017,Semifinal,Zoran,Jones,Boss,Dan B,Jones,4,3,3,3,4,3,3,4,4,4,1,4,2,4,2,3
Virginia 2017,Semifinal,Zoran,Jones,Boss,Dan B,Boss,1,2,4,1,3,4,2,2,2,1,2,2,4,3,1,2
Virginia 2017,Semifinal,Zoran,Jones,Boss,Dan B,Dan B,3,1,2,4,2,2,4,3,3,3,4,3,3,2,4,1
Virginia 2017,Final,MR,Zoran,Abney,Boss,MR,3,1,3,2,1,4,1,1,3,2,2,1,4,2,3,3
Virginia 2017,Final,MR,Zoran,Abney,Boss,Zoran,4,2,2,4,3,2,3,3,2,4,1,3,1,4,2,2
Virginia 2017,Final,MR,Zoran,Abney,Boss,Abney,1,3,1,3,4,1,2,4,4,3,4,4,2,1,1,4
Virginia 2017,Final,MR,Zoran,Abney,Boss,Boss,2,4,4,1,2,3,4,2,1,1,3,2,3,3,4,1
Virginia 2018,Playin,Menji,Weatherton,Clark,Matis,Menji,2,2,2,4,4,3,3,4,3,4,3,3,4,4,4,2
Virginia 2018,Playin,Menji,Weatherton,Clark,Matis,Weatherton,3,1,4,1,2,1,1,1,1,1,2,1,3,1,3,3
Virginia 2018,Playin,Menji,Weatherton,Clark,Matis,Clark,4,3,1,2,1,2,4,2,2,3,1,2,1,2,2,1
Virginia 2018,Playin,Menji,Weatherton,Clark,Matis,Matis,1,4,3,3,3,4,2,3,4,2,4,4,2,3,1,4
Virginia 2018,Playin,Ngamer,GreatScott,Kyle,Deel,Ngamer,2,4,2,3,2,4,3,4,3,2,3,1,2,2,3,3
Virginia 2018,Playin,Ngamer,GreatScott,Kyle,Deel,GreatScott,4,3,4,4,4,3,4,3,4,4,4,4,4,4,4,4
Virginia 2018,Playin,Ngamer,GreatScott,Kyle,Deel,Kyle,3,1,1,2,1,1,1,2,1,1,2,2,1,1,1,1
Virginia 2018,Playin,Ngamer,GreatScott,Kyle,Deel,Deel,1,2,3,1,3,2,2,1,2,3,1,3,3,3,2,2
Virginia 2018,Playin,Mgay,Thingy,Trent,UNO,Mgay,1,2,3,2,2,1,1,2,2,3,2,1,4,3,2,3
Virginia 2018,Playin,Mgay,Thingy,Trent,UNO,Thingy,4,4,1,4,3,4,4,4,3,4,4,4,3,4,4,4
Virginia 2018,Playin,Mgay,Thingy,Trent,UNO,Trent,2,3,2,1,1,3,2,1,1,1,1,2,1,1,1,1
Virginia 2018,Playin,Mgay,Thingy,Trent,UNO,UNO,3,1,4,3,4,2,3,3,4,2,3,3,2,2,3,2
Virginia 2018,R16,Abney,Trent,Kyle,Matis,Abney,2,2,2,4,3,3,1,3,3,3,1,1,4,2,1,2
Virginia 2018,R16,Abney,Trent,Kyle,Matis,Trent,1,1,3,2,1,1,4,1,4,2,4,3,2,1,2,4
Virginia 2018,R16,Abney,Trent,Kyle,Matis,Kyle,4,4,1,1,2,2,2,2,2,1,3,2,1,4,3,1
Virginia 2018,R16,Abney,Trent,Kyle,Matis,Matis,3,3,4,3,4,4,3,4,1,4,2,4,3,3,4,3
Virginia 2018,R16,Dan B,Weatherton,JT,UNO,Dan B,1,1,1,1,2,1,4,3,2,2,1,1,2,1,1,1
Virginia 2018,R16,Dan B,Weatherton,JT,UNO,Weatherton,3,3,3,3,4,2,2,2,3,4,4,3,3,3,2,4
Virginia 2018,R16,Dan B,Weatherton,JT,UNO,JT,4,2,2,2,1,4,1,4,1,1,2,2,1,2,4,3
Virginia 2018,R16,Dan B,Weatherton,JT,UNO,UNO,2,4,4,4,3,3,3,1,4,3,3,4,4,4,3,2
Virginia 2018,R16,Jones,Stinson,Clark,Ngamer,Jones,3,1,3,1,2,1,3,4,1,1,1,1,1,3,1,2
Virginia 2018,R16,Jones,Stinson,Clark,Ngamer,Stinson,1,4,2,2,3,3,4,2,2,3,2,2,2,1,4,1
Virginia 2018,R16,Jones,Stinson,Clark,Ngamer,Clark,4,3,4,4,1,2,1,1,4,4,4,4,4,4,3,3
Virginia 2018,R16,Jones,Stinson,Clark,Ngamer,Ngamer,2,2,1,3,4,4,2,3,3,2,3,3,3,2,2,4
Virginia 2018,R16,Mgay,Frankie,Jake,Deel,Mgay,3,1,4,3,2,4,1,3,1,3,2,4,4,4,4,4
Virginia 2018,R16,Mgay,Frankie,Jake,Deel,Frankie,2,2,3,2,4,2,2,1,2,2,1,1,1,1,2,1
Virginia 2018,R16,Mgay,Frankie,Jake,Deel,Jake,4,3,1,4,1,1,4,2,3,1,3,2,2,3,1,3
Virginia 2018,R16,Mgay,Frankie,Jake,Deel,Deel,1,4,2,1,3,3,3,4,4,4,4,3,3,2,3,2
Virginia 2018,R16,Abney,Ngamer,JT,Deel,Abney,2,2,1,1,2,1,1,3,1,2,2,3,1,1,2,1
Virginia 2018,R16,Abney,Ngamer,JT,Deel,Ngamer,4,3,3,4,4,2,4,4,3,3,4,4,4,3,4,3
Virginia 2018,R16,Abney,Ngamer,JT,Deel,JT,1,1,2,2,1,3,3,1,2,1,1,2,2,4,1,4
Virginia 2018,R16,Abney,Ngamer,JT,Deel,Deel,3,4,4,3,3,4,2,2,4,4,3,1,3,2,3,2
Virginia 2018,R16,Dan B,Clark,Kyle,Mgay,Dan B,1,2,2,2,1,2,3,3,3,1,3,1,1,1,1,1
Virginia 2018,R16,Dan B,Clark,Kyle,Mgay,Clark,4,4,4,3,3,3,2,4,2,2,2,4,4,4,3,3
Virginia 2018,R16,Dan B,Clark,Kyle,Mgay,Kyle,2,1,3,1,2,1,1,1,4,3,1,3,2,2,4,4
Virginia 2018,R16,Dan B,Clark,Kyle,Mgay,Mgay,3,3,1,4,4,4,4,2,1,4,4,2,3,3,2,2
Virginia 2018,R16,Jones,Frankie,Weatherton,Matis,Jones,1,1,1,3,1,1,2,1,1,2,1,3,1,4,1,2
Virginia 2018,R16,Jones,Frankie,Weatherton,Matis,Frankie,2,3,2,1,4,4,3,2,4,1,2,1,3,1,3,1
Virginia 2018,R16,Jones,Frankie,Weatherton,Matis,Weatherton,3,4,3,2,2,2,1,4,2,4,4,4,4,2,4,4
Virginia 2018,R16,Jones,Frankie,Weatherton,Matis,Matis,4,2,4,4,3,3,4,3,3,3,3,2,2,3,2,3
Virginia 2018,R16,Trent,Stinson,Jake,UNO,Trent,2,3,3,3,1,2,3,2,2,1,1,1,1,3,1,2
Virginia 2018,R16,Trent,Stinson,Jake,UNO,Stinson,1,2,1,2,4,4,1,3,4,3,4,3,3,2,4,3
Virginia 2018,R16,Trent,Stinson,Jake,UNO,Jake,3,1,2,1,2,1,2,1,1,2,2,2,2,1,2,1
Virginia 2018,R16,Trent,Stinson,Jake,UNO,UNO,4,4,4,4,3,3,4,4,3,4,3,4,4,4,3,4
Virginia 2018,Semifinal,Dan B,Frankie,Jake,Kyle,Dan B,2,1,4,4,1,1,3,3,2,4,3,4,2,3,2,1
Virginia 2018,Semifinal,Dan B,Frankie,Jake,Kyle,Frankie,1,4,2,1,2,4,2,1,4,2,4,1,3,1,3,4
Virginia 2018,Semifinal,Dan B,Frankie,Jake,Kyle,Jake,3,3,1,2,4,2,1,4,3,3,2,3,1,4,4,3
Virginia 2018,Semifinal,Dan B,Frankie,Jake,Kyle,Kyle,4,2,3,3,3,3,4,2,1,1,1,2,4,2,1,2
Virginia 2018,Semifinal,Jones,Abney,JT,Trent,Jones,4,3,2,2,3,2,4,4,3,4,2,3,3,2,3,2
Virginia 2018,Semifinal,Jones,Abney,JT,Trent,Abney,1,2,1,4,1,1,1,1,2,1,1,1,4,1,1,1
Virginia 2018,Semifinal,Jones,Abney,JT,Trent,JT,2,1,3,3,4,4,3,3,4,2,3,2,1,3,2,3
Virginia 2018,Semifinal,Jones,Abney,JT,Trent,Trent,3,4,4,1,2,3,2,2,1,3,4,4,2,4,4,4
Virginia 2018,Final,Abney,Frankie,Kyle,JT,Abney,4,2,1,2,1,4,1,1,2,4,1,2,3,1,1,3
Virginia 2018,Final,Abney,Frankie,Kyle,JT,Frankie,2,1,2,1,2,2,4,2,1,1,4,4,4,4,4,2
Virginia 2018,Final,Abney,Frankie,Kyle,JT,Kyle,1,3,4,4,3,3,2,3,4,3,3,1,1,3,2,4
Virginia 2018,Final,Abney,Frankie,Kyle,JT,JT,3,4,3,3,4,1,3,4,3,2,2,3,2,2,3,1
Virginia 2019,Playin,Zoran,Weatherton,Andy,Trash Cat,Zoran,2,1,3,1,1,1,2,1,1,2,3,2,1,3,1,1
Virginia 2019,Playin,Zoran,Weatherton,Andy,Trash Cat,Weatherton,1,4,1,2,3,4,3,3,2,1,1,3,2,1,2,2
Virginia 2019,Playin,Zoran,Weatherton,Andy,Trash Cat,Andy,3,3,2,3,2,2,4,2,4,3,2,1,3,2,3,3
Virginia 2019,Playin,Zoran,Weatherton,Andy,Trash Cat,Trash Cat,4,2,4,4,4,3,1,4,3,4,4,4,4,4,4,4
Virginia 2019,Playin,TYG,Mgay,Thingy,Dan B,TYG,2,4,1,2,2,3,2,1,1,2,2,1,2,1,2,2
Virginia 2019,Playin,TYG,Mgay,Thingy,Dan B,Mgay,3,1,3,3,3,1,3,2,3,3,3,2,3,3,3,3
Virginia 2019,Playin,TYG,Mgay,Thingy,Dan B,Thingy,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Virginia 2019,Playin,TYG,Mgay,Thingy,Dan B,Dan B,1,2,2,1,1,2,1,3,2,1,1,3,1,2,1,1
Virginia 2019,Playin,Joo,Stinson,Ngamer,Jake,Joo,3,4,3,3,4,2,4,4,3,3,4,4,3,3,4,4
Virginia 2019,Playin,Joo,Stinson,Ngamer,Jake,Stinson,2,3,2,2,2,1,3,1,1,1,2,2,2,1,3,1
Virginia 2019,Playin,Joo,Stinson,Ngamer,Jake,Ngamer,1,2,4,4,3,4,2,3,4,4,3,3,4,4,2,3
Virginia 2019,Playin,Joo,Stinson,Ngamer,Jake,Jake,4,1,1,1,1,3,1,2,2,2,1,1,1,2,1,2
Virginia 2019,Playin,Jones,UNO,Clark,PYL,Jones,2,3,4,1,1,2,1,1,3,1,1,1,1,1,4,1
Virginia 2019,Playin,Jones,UNO,Clark,PYL,UNO,4,2,1,3,2,4,3,3,4,2,3,4,3,3,2,2
Virginia 2019,Playin,Jones,UNO,Clark,PYL,Clark,3,4,2,2,4,3,2,4,2,4,4,3,2,4,1,4
Virginia 2019,Playin,Jones,UNO,Clark,PYL,PYL,1,1,3,4,3,1,4,2,1,3,2,2,4,2,3,3
Virginia 2019,Playin,Dennison,Meleeman,Kazuya,Trent,Dennison,2,4,3,4,1,1,2,4,3,2,4,4,1,1,1,1
Virginia 2019,Playin,Dennison,Meleeman,Kazuya,Trent,Meleeman,1,1,2,2,4,4,3,2,4,1,2,3,4,3,4,4
Virginia 2019,Playin,Dennison,Meleeman,Kazuya,Trent,Kazuya,3,2,1,3,3,3,4,3,2,3,3,2,2,2,2,3
Virginia 2019,Playin,Dennison,Meleeman,Kazuya,Trent,Trent,4,3,4,1,2,2,1,1,1,4,1,1,3,4,3,2
Virginia 2019,Playin,Zoran,Mgay,Kazuya,UNO,Zoran,1,3,1,1,1,2,2,1,1,1,2,1,2,3,1,1
Virginia 2019,Playin,Zoran,Mgay,Kazuya,UNO,Mgay,3,2,2,2,2,3,3,3,3,3,3,3,4,4,2,2
Virginia 2019,Playin,Zoran,Mgay,Kazuya,UNO,Kazuya,2,1,3,3,3,1,4,2,2,2,4,2,3,2,3,3
Virginia 2019,Playin,Zoran,Mgay,Kazuya,UNO,UNO,4,4,4,4,4,4,1,4,4,4,1,4,1,1,4,4
Virginia 2019,Playin,Dan B,Trash Cat,Dennison,Ngamer,Dan B,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1
Virginia 2019,Playin,Dan B,Trash Cat,Dennison,Ngamer,Trash Cat,2,1,3,3,4,4,4,4,4,3,4,3,2,4,4,4
Virginia 2019,Playin,Dan B,Trash Cat,Dennison,Ngamer,Dennison,3,4,2,2,1,1,3,3,3,4,2,2,4,3,2,2
Virginia 2019,Playin,Dan B,Trash Cat,Dennison,Ngamer,Ngamer,4,3,4,4,3,3,2,2,2,2,3,4,3,2,3,3
Virginia 2019,Playin,Weatherton,Meleeman,Clark,Jake,Weatherton,3,3,1,4,2,3,2,4,1,2,3,3,2,2,1,2
Virginia 2019,Playin,Weatherton,Meleeman,Clark,Jake,Meleeman,1,4,4,2,4,4,3,2,2,4,1,2,3,3,3,3
Virginia 2019,Playin,Weatherton,Meleeman,Clark,Jake,Clark,2,2,3,1,3,1,1,3,4,3,4,1,1,4,2,4
Virginia 2019,Playin,Weatherton,Meleeman,Clark,Jake,Jake,4,1,2,3,1,2,4,1,3,1,2,4,4,1,4,1
Virginia 2019,Playin,Jones,Stinson,Andy,Thingy,Jones,2,2,3,4,1,1,2,1,1,1,1,1,1,1,1,1
Virginia 2019,Playin,Jones,Stinson,Andy,Thingy,Stinson,4,1,1,2,3,3,1,3,2,2,2,3,2,2,3,2
Virginia 2019,Playin,Jones,Stinson,Andy,Thingy,Andy,1,3,2,1,2,2,3,2,4,3,3,2,3,3,2,4
Virginia 2019,Playin,Jones,Stinson,Andy,Thingy,Thingy,3,4,4,3,4,4,4,4,3,4,4,4,4,4,4,3
Virginia 2019,Playin,TYG,Trent,Joo,PYL,TYG,2,2,2,2,2,1,1,1,1,2,3,1,2,4,1,4
Virginia 2019,Playin,TYG,Trent,Joo,PYL,Trent,1,1,1,4,3,4,2,2,3,3,1,2,1,1,2,3
Virginia 2019,Playin,TYG,Trent,Joo,PYL,Joo,4,4,4,3,4,3,4,3,2,4,4,4,4,2,3,2
Virginia 2019,Playin,TYG,Trent,Joo,PYL,PYL,3,3,3,1,1,2,3,4,4,1,2,3,3,3,4,1
Virginia 2019,R16,Abney,TYG,Andy,Jake,Abney,4,1,1,1,4,3,1,1,2,1,4,2,1,2,1,1
Virginia 2019,R16,Abney,TYG,Andy,Jake,TYG,1,2,4,2,2,1,3,4,3,2,3,4,3,3,3,3
Virginia 2019,R16,Abney,TYG,Andy,Jake,Andy,2,4,2,4,3,4,4,3,4,3,2,1,4,4,2,4
Virginia 2019,R16,Abney,TYG,Andy,Jake,Jake,3,3,3,3,1,2,2,2,1,4,1,3,2,1,4,2
Virginia 2019,R16,Frankie,Jones,Kazuya,Stinson,Frankie,3,3,3,2,2,4,3,1,1,1,2,1,2,4,2,3
Virginia 2019,R16,Frankie,Jones,Kazuya,Stinson,Jones,2,1,1,3,4,2,2,4,4,2,1,3,4,2,3,2
Virginia 2019,R16,Frankie,Jones,Kazuya,Stinson,Kazuya,1,4,4,1,3,1,4,3,2,4,4,4,3,3,1,4
Virginia 2019,R16,Frankie,Jones,Kazuya,Stinson,Stinson,4,2,2,4,1,3,1,2,3,3,3,2,1,1,4,1
Virginia 2019,R16,PYL,Zoran,Trent,JT,PYL,3,4,3,1,4,3,2,3,2,2,4,3,3,3,2,4
Virginia 2019,R16,PYL,Zoran,Trent,JT,Zoran,4,3,1,3,1,4,3,1,1,1,2,2,2,1,1,2
Virginia 2019,R16,PYL,Zoran,Trent,JT,Trent,1,1,4,2,3,1,4,2,4,4,1,1,1,4,3,3
Virginia 2019,R16,PYL,Zoran,Trent,JT,JT,2,2,2,4,2,2,1,4,3,3,3,4,4,2,4,1
Virginia 2019,R16,Dan B,Dennison,Kyle,Weatherton,Dan B,1,1,1,2,2,4,1,2,1,1,2,2,2,2,3,3
Virginia 2019,R16,Dan B,Dennison,Kyle,Weatherton,Dennison,4,4,2,4,4,3,4,4,4,4,1,3,3,1,4,2
Virginia 2019,R16,Dan B,Dennison,Kyle,Weatherton,Kyle,3,3,3,1,3,1,2,1,2,2,3,1,1,4,1,1
Virginia 2019,R16,Dan B,Dennison,Kyle,Weatherton,Weatherton,2,2,4,3,1,2,3,3,3,3,4,4,4,3,2,4
Virginia 2019,R16,Abney,Jones,Weatherton,PYL,Abney,3,4,1,1,1,2,4,1,3,1,1,2,1,1,2,1
Virginia 2019,R16,Abney,Jones,Weatherton,PYL,Jones,1,1,2,2,2,3,1,2,4,4,3,1,2,2,1,2
Virginia 2019,R16,Abney,Jones,Weatherton,PYL,Weatherton,2,3,3,3,3,4,3,4,2,3,2,3,4,4,4,3
Virginia 2019,R16,Abney,Jones,Weatherton,PYL,PYL,4,2,4,4,4,1,2,3,1,2,4,4,3,3,3,4
Virginia 2019,R16,Frankie,TYG,Dennison,Trent,Frankie,1,4,3,1,2,2,2,3,4,4,2,3,1,1,3,1
Virginia 2019,R16,Frankie,TYG,Dennison,Trent,TYG,3,3,2,4,4,4,3,4,1,2,4,4,4,4,2,4
Virginia 2019,R16,Frankie,TYG,Dennison,Trent,Dennison,4,2,1,3,1,1,4,1,3,1,3,2,3,2,4,2
Virginia 2019,R16,Frankie,TYG,Dennison,Trent,Trent,2,1,4,2,3,3,1,2,2,3,1,1,2,3,1,3
Virginia 2019,R16,Dan B,Stinson,Andy,JT,Dan B,2,2,3,4,2,1,4,2,1,1,2,1,4,1,1,1
Virginia 2019,R16,Dan B,Stinson,Andy,JT,Stinson,3,3,1,1,1,3,2,1,3,2,4,3,1,2,2,2
Virginia 2019,R16,Dan B,Stinson,Andy,JT,Andy,4,1,2,3,3,4,3,3,4,4,1,2,3,4,4,3
Virginia 2019,R16,Dan B,Stinson,Andy,JT,JT,1,4,4,2,4,2,1,4,2,3,3,4,2,3,3,4
Virginia 2019,R16,Kazuya,Zoran,Kyle,Jake,Kazuya,1,2,4,4,2,1,2,3,4,4,4,4,3,4,4,4
Virginia 2019,R16,Kazuya,Zoran,Kyle,Jake,Zoran,3,3,2,2,1,2,4,4,2,2,1,3,1,1,1,2
Virginia 2019,R16,Kazuya,Zoran,Kyle,Jake,Kyle,2,1,1,3,3,4,1,2,3,1,2,1,4,3,2,1
Virginia 2019,R16,Kazuya,Zoran,Kyle,Jake,Jake,4,4,3,1,4,3,3,1,1,3,3,2,2,2,3,3
Virginia 2019,Semifinal,Abney,Frankie,Zoran,Stinson,Abney,3,4,1,1,4,4,3,2,1,3,3,3,2,1,2,1
Virginia 2019,Semifinal,Abney,Frankie,Zoran,Stinson,Frankie,4,3,2,3,3,3,1,4,3,4,1,2,1,2,1,4
Virginia 2019,Semifinal,Abney,Frankie,Zoran,Stinson,Zoran,1,2,3,2,2,1,2,3,2,2,4,1,3,3,4,2
Virginia 2019,Semifinal,Abney,Frankie,Zoran,Stinson,Stinson,2,1,4,4,1,2,4,1,4,1,2,4,4,4,3,3
Virginia 2019,Semifinal,Dan B,Jones,Kyle,Trent,Dan B,2,1,1,1,2,3,1,4,2,2,1,2,4,1,2,2
Virginia 2019,Semifinal,Dan B,Jones,Kyle,Trent,Jones,1,3,3,2,1,4,3,3,1,4,2,1,2,3,1,4
Virginia 2019,Semifinal,Dan B,Jones,Kyle,Trent,Kyle,3,2,2,4,4,1,2,2,3,3,3,4,3,2,3,1
Virginia 2019,Semifinal,Dan B,Jones,Kyle,Trent,Trent,4,4,4,3,3,2,4,1,4,1,4,3,1,4,4,3
Virginia 2019,Final,Dan B,Zoran,Abney,Jones,Dan B,3,3,4,3,3,3,1,3,4,1,1,4,3,4,2,3
Virginia 2019,Final,Dan B,Zoran,Abney,Jones,Zoran,1,2,1,2,1,2,2,2,1,2,3,2,4,2,1,1
Virginia 2019,Final,Dan B,Zoran,Abney,Jones,Abney,4,1,2,1,4,1,3,4,2,4,2,1,2,1,3,4
Virginia 2019,Final,Dan B,Zoran,Abney,Jones,Jones,2,4,3,4,2,4,4,1,3,3,4,3,1,3,4,2
